"File","Issues","LineNo","Len","Content","FullTag","TagLine2"
"404.html","TOO_LONG","10","168","The page you're looking for doesn't exist at GymTranning. Browse our library of science-based workout guides, training plans, and nutrition tools to find what you need.","<meta name=""description"" content=""The page you're looking for doesn't exist at GymTranning. Browse our library of science-based workout guides, training plans, and nutrition tools to find what you need."">",""
"about.html","DUPLICATE_TAGS+TOO_LONG","7","161","GymTranning provides evidence-based workout plans, nutrition guides, and interactive calculators. Discover our mission to make fitness science accessible to all.","<meta name=""description"" content=""GymTranning provides evidence-based workout plans, nutrition guides, and interactive calculators. Discover our mission to make fitness science accessible to all."">","<meta name=""description"" content=""GymTranning provides evidence-based workout plans, nutrition guides, and interactive calculators. Discover our mission to make fitness science accessible to all."">"
"accessibility.html","TOO_LONG","5","167","GymTranning is committed to digital accessibility. Learn about our WCAG 2.1 compliance, accessibility features, screen reader support, and keyboard navigation options.","<meta name=""description"" content=""GymTranning is committed to digital accessibility. Learn about our WCAG 2.1 compliance, accessibility features, screen reader support, and keyboard navigation options."">",""
"affiliate-disclosure.html","TOO_LONG","7","163","GymTranning affiliate disclosure: Learn about our affiliate relationships, how we earn commissions, and our commitment to honest, unbiased product recommendations.","<meta name=""description"" content=""GymTranning affiliate disclosure: Learn about our affiliate relationships, how we earn commissions, and our commitment to honest, unbiased product recommendations."">",""
"blog.html","DUPLICATE_TAGS+TOO_LONG","8","167","Explore GymTranning's expert fitness blog with science-based guides on training, nutrition, recovery, and mindset. Evidence-backed articles to transform your physique.","<meta name=""description"" content=""Explore GymTranning's expert fitness blog with science-based guides on training, nutrition, recovery, and mindset. Evidence-backed articles to transform your physique."">","<meta name=""description"" content=""Explore GymTranning's expert fitness blog with science-based guides on training, nutrition, recovery, and mindset. Evidence-backed articles to transform your physique."">"
"blog\advanced-back-isolation.html","DUPLICATE_TAGS+TOO_LONG","7","163","Target every muscle of your back with advanced isolation techniques. Cable pullovers, straight-arm pulldowns, and rear delt flyes for complete 3D back development.","<meta name=""description"" content=""Target every muscle of your back with advanced isolation techniques. Cable pullovers, straight-arm pulldowns, and rear delt flyes for complete 3D back development."">","<meta name=""description"" content=""Target every muscle of your back with advanced isolation techniques. Cable pullovers, straight-arm pulldowns, and rear delt flyes for complete 3D back development."">"
"blog\building-mid-back-thickness-with-rows.html","DUPLICATE_TAGS","7","138","Build a thick, dense back with barbell rows, dumbbell rows & cable rows. Learn form cues, rep ranges & the biomechanics of back thickness.","<meta name=""description"" content=""Build a thick, dense back with barbell rows, dumbbell rows & cable rows. Learn form cues, rep ranges & the biomechanics of back thickness."">","<meta name=""description"" content=""Build a thick, dense back with barbell rows, dumbbell rows & cable rows. Learn form cues, rep ranges & the biomechanics of back thickness."">"
"blog\complete-chest-development.html","DUPLICATE_TAGS","67","147","Build a complete chest with science-based training. Upper, middle & lower pec exercises, optimal angles & progressive overload strategies for mass.","<meta name=""description"" content=""Build a complete chest with science-based training. Upper, middle & lower pec exercises, optimal angles & progressive overload strategies for mass."">","<meta name=""description"" content=""Build a complete chest with science-based training. Upper, middle & lower pec exercises, optimal angles & progressive overload strategies for mass."">"
"blog\correcting-posture-exercises.html","DUPLICATE_TAGS+TOO_LONG","42","168","Fix forward head posture, rounded shoulders, and tech neck with our science-based 3-step protocol. Release tight muscles, mobilize joints, and strengthen weak patterns.","<meta name=""description"" content=""Fix forward head posture, rounded shoulders, and tech neck with our science-based 3-step protocol. Release tight muscles, mobilize joints, and strengthen weak patterns."">","<meta name=""description"" content=""Fix forward head posture, rounded shoulders, and tech neck with our science-based 3-step protocol. Release tight muscles, mobilize joints, and strengthen weak patterns."">"
"blog\deadlift-masterclass-strength-safety.html","DUPLICATE_TAGS","7","129","Master the deadlift with proper bracing, setup, and pull technique. Learn conventional vs sumo deadlifts for strength and safety.","<meta name=""description"" content=""Master the deadlift with proper bracing, setup, and pull technique. Learn conventional vs sumo deadlifts for strength and safety."">","<meta name=""description"" content=""Master the deadlift with proper bracing, setup, and pull technique. Learn conventional vs sumo deadlifts for strength and safety."">"
"blog\gut-health-fitness.html","DUPLICATE_TAGS","67","148","Your gut microbiome controls inflammation, nutrient absorption, and even muscle growth. Learn how to optimize gut health for better gym performance.","<meta name=""description"" content=""Your gut microbiome controls inflammation, nutrient absorption, and even muscle growth. Learn how to optimize gut health for better gym performance."">","<meta name=""description"" content=""Your gut microbiome controls inflammation, nutrient absorption, and even muscle growth. Learn how to optimize gut health for better gym performance."">"
"blog\hiit-vs-liss.html","DUPLICATE_TAGS","67","148","HIIT burns more calories per minute but LISS is sustainable. Compare the science behind both cardio methods and choose the right one for your goals.","<meta name=""description"" content=""HIIT burns more calories per minute but LISS is sustainable. Compare the science behind both cardio methods and choose the right one for your goals."">","<meta name=""description"" content=""HIIT burns more calories per minute but LISS is sustainable. Compare the science behind both cardio methods and choose the right one for your goals."">"
"blog\home-gym-budget.html","DUPLICATE_TAGS","67","127","Build a complete home gym for under $500. Budget breakdowns for bodyweight ($0), minimalist ($150), and iron enthusiast ($500).","<meta name=""description"" content=""Build a complete home gym for under $500. Budget breakdowns for bodyweight ($0), minimalist ($150), and iron enthusiast ($500)."">","<meta name=""description"" content=""Build a complete home gym for under $500. Budget breakdowns for bodyweight ($0), minimalist ($150), and iron enthusiast ($500)."">"
"blog\home-workout-essentials.html","DUPLICATE_TAGS","67","149","Build muscle at home with zero equipment. Bodyweight progressions, resistance band workouts, and adjustable dumbbell routines for all fitness levels.","<meta name=""description"" content=""Build muscle at home with zero equipment. Bodyweight progressions, resistance band workouts, and adjustable dumbbell routines for all fitness levels."">","<meta name=""description"" content=""Build muscle at home with zero equipment. Bodyweight progressions, resistance band workouts, and adjustable dumbbell routines for all fitness levels."">"
"blog\hydration-strategies.html","DUPLICATE_TAGS","7","140","How hydration affects muscle strength, endurance & recovery. Daily water intake guide for athletes, pre & post-workout hydration strategies.","<meta name=""description"" content=""How hydration affects muscle strength, endurance & recovery. Daily water intake guide for athletes, pre & post-workout hydration strategies."">","<meta name=""description"" content=""How hydration affects muscle strength, endurance & recovery. Daily water intake guide for athletes, pre & post-workout hydration strategies."">"
